evt, m, deta, e_ratio
301,20.7414,1.41664,0.280542
302,14.6733,2.81826,0.0892639
303,16.2651,2.26536,0.250515
304,15.6932,3.03352,0.16304
305,15.7936,2.68007,0.0943472
306,38.6104,3.46574,0.0840997
307,16.0339,1.2437,0.301871
308,16.048,2.18369,0.174749
309,14.5704,1.92546,0.192409
310,15.2709,1.64737,0.573819
311,17.6387,7.62247,0.195824
312,17.4879,5.08583,0.108232
313,15.3927,1.27254,0.551576
314,23.4759,0.670563,0.759386
315,16.7541,4.24091,0.0376276
316,19.4832,1.84784,0.706348
317,22.4999,5.41245,0.94642
318,15.1046,0.714127,0.495653
319,14.8078,1.0483,0.544785
320,14.2016,7.98855,0.432244
321,20.2055,1.27854,0.443449
322,16.2202,5.12619,0.972289
323,15.2605,3.93924,0.0663055
324,17.3232,5.38276,0.234782
325,14.7461,5.65289,0.0672148
326,14.3424,1.39981,0.40506
327,16.8659,5.0761,0.973865
328,14.4361,2.2146,0.236188
329,15.7905,3.54499,0.0374272
330,14.2577,3.85147,0.103845
331,18.6529,2.40656,0.139826
332,14.4319,6.0874,0.012246
333,16.1698,1.69859,0.818849
334,16.3859,9.75848,0.109225
335,14.7189,3.88287,0.262537
336,17.5487,3.22896,0.0961464
337,15.4529,3.28902,0.0737172
338,15.7057,1.87806,0.165341
339,22.4581,2.0197,0.186271
340,14.3058,1.79623,0.759945
341,17.6935,1.11765,0.507171
342,18.1768,1.83947,0.478055
343,14.1857,0.180125,0.83061
344,21.6408,4.17424,0.409624
345,14.4764,0.772221,0.485752
346,14.6934,0.906366,0.405715
347,16.9447,0.752005,0.425325
348,22.4056,2.18633,0.117299
349,16.6198,3.39449,0.883169
350,14.5892,0.198863,0.821901
351,15.7063,4.25676,0.131026
352,17.2839,3.85113,0.213718
353,14.1546,0.53535,0.563299
354,15.845,3.02881,0.698726
355,15.6655,0.2448,0.961499
356,18.9705,3.79483,0.502952
357,23.6886,5.37617,0.132284
358,16.089,3.8312,0.0354874
359,17.6346,3.10222,0.189879
360,15.0103,5.13509,0.0654451
361,18.1426,4.30691,0.516082
362,17.4618,7.19425,0.0194675
363,14.5463,0.110427,0.993795
364,14.7011,4.07104,0.103642
365,20.7127,2.73853,0.233838
366,16.5533,0.158788,0.86485
367,21.8316,3.49492,0.859359
368,24.3369,1.92235,0.155125
369,16.3464,1.61601,0.215888
370,17.9402,0.984059,0.425747
371,15.8989,1.43399,0.263643
372,15.4198,0.434456,0.744548
373,18.5054,1.7317,0.348984
374,14.4767,1.35621,0.453574
375,14.8336,0.819009,0.871122
376,17.3365,4.32434,0.598334
377,21.3466,3.04723,0.263948
378,17.3392,3.81053,0.0540666
379,17.4212,5.74808,0.452729
380,14.5432,5.22731,0.704398
381,14.7607,2.54523,0.163841
382,19.36,5.06741,0.0364968
383,14.6089,3.15731,0.134463
384,16.1189,1.2376,0.296113
385,15.0614,0.707999,0.745248
386,14.9616,4.86006,0.794136
387,18.2417,3.94639,0.0405678
388,14.3165,2.86055,0.167889
389,19.243,4.49382,0.480013
390,19.605,5.13787,0.145865
391,14.2391,3.4798,0.735923
392,14.5503,6.11259,0.968215
393,21.8781,0.83979,0.461971
394,16.0605,3.24607,0.05301
395,28.5806,2.8468,0.96237
396,15.0934,1.76373,0.304345
397,15.4574,4.31954,0.172501
398,14.4432,2.92973,0.0702935
399,15.5311,4.75226,0.428648
400,15.2318,4.12784,0.0398357
401,18.3176,1.10462,0.506042
402,21.6903,0.0682393,0.959887
403,19.0428,0.234628,0.815329
404,14.2976,2.21866,0.167973
405,14.8625,6.99638,0.943903
406,15.6224,2.77456,0.572913
407,15.0031,4.28395,0.0311396
408,23.1757,3.32804,0.0764243
409,17.7247,1.28119,0.277507
410,18.5469,0.273814,0.969521
411,17.4826,0.980182,0.737094
412,14.3542,4.45116,0.0577154
413,17.5954,5.98298,0.23472
414,15.4119,2.29373,0.433586
415,15.063,0.743343,0.608763
416,17.1911,1.90267,0.158691
417,17.377,1.87408,0.255159
418,14.5612,0.747442,0.590169
419,25.6019,0.500939,0.638419
420,16.4037,0.222938,0.847122
421,14.5416,0.814757,0.526321
422,16.5365,1.12683,0.358149
423,15.4542,5.39515,0.0141449
424,15.8488,3.17014,0.465494
425,18.3731,2.4995,0.165916
426,15.3599,2.15284,0.204743
427,23.7951,7.60409,0.169199
428,17.1189,2.34504,0.151732
429,15.1775,6.02061,0.722747
430,18.1349,3.38627,0.415077
431,17.5713,3.94123,0.0424278
432,22.8862,0.172622,0.899954
433,15.1265,0.767254,0.492852
434,14.2196,0.919922,0.509698
435,15.0479,3.73171,0.0432833
436,14.347,0.704089,0.537954
437,15.7053,2.43309,0.271003
438,15.0022,2.3426,0.186947
439,15.3204,4.48499,0.0461127
440,15.0898,3.32402,0.0591359
441,15.1611,0.590491,0.879528
442,15.435,1.73744,0.684448
443,15.6659,1.63503,0.270187
444,14.4557,2.62697,0.0909802
445,15.2309,2.22404,0.159991
446,20.5984,0.751156,0.499446
447,14.6442,5.89842,0.0103299
448,14.6864,1.67661,0.193083
449,16.1384,4.09101,0.109674
450,15.092,3.22411,0.157902
451,14.9352,2.20339,0.947749
452,16.8908,3.29515,0.210709
453,22.5811,1.09646,0.785043
454,18.4679,3.92233,0.0394255
455,14.8546,2.51231,0.147692
456,16.1137,7.87412,0.123282
457,16.4907,2.26739,0.224022
458,16.289,1.90303,0.15193
459,15.206,4.05077,0.0648595
460,16.0706,2.30183,0.279927
461,20.6753,2.57271,0.299101
462,22.9361,1.46581,0.406012
463,16.3641,2.00129,0.362713
464,14.6931,1.49573,0.251355
465,15.3689,3.59814,0.275888
466,14.169,7.97518,0.0350247
467,17.297,0.277043,0.736604
468,18.0613,2.98269,0.334813
469,21.3394,1.84024,0.431886
470,14.6672,4.54284,0.207453
471,14.449,0.72136,0.746086
472,29.919,2.80014,0.751659
473,18.7259,1.98917,0.285925
474,15.9122,5.69789,0.351838
475,15.0638,3.50103,0.0695884
476,14.3556,1.43897,0.296904
477,15.3291,0.61311,0.65835
478,16.1977,2.97534,0.772788
479,17.9628,4.10071,0.0720883
480,18.0712,1.42557,0.317788
481,14.9469,5.37846,0.0819233
482,15.5403,0.355875,0.94416
483,16.0263,7.28225,0.158008
484,16.5716,7.21208,0.0519282
485,14.2166,4.8616,0.0310586
486,14.3611,1.58963,0.227222
487,15.2447,4.29727,0.0721522
488,14.5172,4.19555,0.0550797
489,15.2373,3.3206,0.0912889
490,14.1558,6.93466,0.127029
491,15.0464,1.17173,0.546939
492,14.7467,3.10666,0.408841
493,14.6402,2.38797,0.56735
494,18.0251,3.32071,0.538339
495,16.1575,4.18084,0.0348746
496,14.9053,0.394312,0.709939
497,16.641,1.18728,0.458956
498,19.4107,1.26407,0.339369
499,16.303,4.19192,0.0559107
500,14.712,1.49893,0.275161
501,18.2927,4.02229,0.842222
502,17.5611,0.0832668,0.88442
503,17.6077,0.449393,0.668609
504,15.1764,5.41688,0.03421
505,16.0048,5.40795,0.0418454
506,18.2786,0.484965,0.632756
507,16.0763,5.34066,0.0897906
508,15.9734,3.58483,0.438109
509,14.2499,7.89253,0.0657273
510,18.5982,3.38721,0.574099
511,16.8229,2.99875,0.594071
512,16.6679,0.934712,0.46319
513,14.2693,4.99584,0.0182584
