evt, m, deta, e_ratio
310,3.95605,2.05416,0.214565
311,4.10913,3.81553,0.135124
312,3.89129,2.04741,0.258139
313,3.74645,0.460095,0.60027
314,4.51084,1.51055,0.287775
315,4.57353,3.6518,0.0524499
316,3.59291,0.601395,0.506484
317,3.69817,5.52116,0.0668348
318,10.6235,3.89478,0.87014
319,3.55876,5.51355,0.328682
320,5.5606,0.344526,0.94927
321,5.00748,2.18872,0.285707
322,3.61452,2.66776,0.0971527
323,3.57436,1.22458,0.250509
324,4.21053,3.83105,0.291375
325,4.4802,2.86033,0.167683
326,3.62353,6.92934,0.00964949
327,3.54657,1.03104,0.419563
328,3.92992,3.67977,0.0479472
329,4.90365,5.00657,0.0273217
330,3.57162,2.09588,0.896697
331,3.83166,4.48684,0.189589
332,4.14327,4.99038,0.0120162
333,3.54973,4.12213,0.0272137
334,7.26444,6.65279,0.0533519
335,4.50225,6.55127,0.0333501
336,10.4547,8.00078,0.368585
337,3.69813,0.72287,0.906438
338,3.55537,4.41509,0.4202
339,3.92472,0.517047,0.974117
340,3.91971,2.49338,0.247781
341,3.69806,2.0825,0.131756
342,4.13056,1.14822,0.553014
343,7.67422,0.465168,0.967945
344,4.89939,6.12234,0.795695
345,3.6534,0.64907,0.734893
346,3.8007,0.200263,0.933208
347,4.50625,1.25798,0.351547
348,3.77027,4.08496,0.50573
349,3.77574,5.12351,0.0524544
350,3.68635,1.13272,0.293125
351,3.55189,3.79375,0.339579
352,4.61763,1.06641,0.641142
353,3.77242,3.33028,0.0452668
354,3.75666,2.33167,0.695243
355,3.71589,6.20345,0.733053
356,3.58265,3.8715,0.538484
357,4.8028,2.1824,0.104222
358,3.54113,0.00142855,0.795369
359,4.02976,6.15006,0.149342
360,4.14562,4.84731,0.0649623
361,6.79673,0.545543,0.636061
362,3.9391,5.00798,0.292074
363,4.33654,2.59564,0.572498
364,3.96755,2.68297,0.046758
365,3.92635,1.23718,0.178942
366,3.68066,3.79538,0.0232617
367,4.41759,0.303344,0.628394
368,4.24459,3.77955,0.335889
369,5.65582,3.10332,0.935044
370,3.71725,1.41951,0.305064
371,5.81779,4.0681,0.798582
372,3.99799,1.2011,0.365743
373,3.62783,2.09382,0.164253
374,3.8629,2.31249,0.129878
375,4.16666,3.30306,0.555039
376,3.64138,2.19683,0.68333
377,5.08409,4.14942,0.273215
378,3.87644,5.99454,0.0510506
379,8.34643,2.72594,0.119972
380,5.14542,3.77631,0.0940486
381,5.54729,2.77689,0.0586123
382,4.64387,3.28062,0.285065
383,3.76812,4.20786,0.0750363
384,4.3243,3.04886,0.103278
385,5.54236,0.0465575,0.887589
386,4.90402,4.70844,0.0384306
387,5.5058,2.83665,0.114002
388,3.7281,7.82941,0.147953
389,3.91239,0.659234,0.815466
390,4.04011,1.16413,0.312133
391,3.96228,3.24827,0.104302
392,4.43916,3.67565,0.0247286
393,5.68509,2.72247,0.379519
394,4.17048,6.12082,0.613007
395,3.57424,0.611334,0.789036
396,5.76908,3.7703,0.12621
397,3.97005,5.49983,0.358257
398,5.31005,0.0805799,0.862665
399,3.71611,1.6395,0.351913
400,4.9216,0.424156,0.69125
401,3.57233,1.71892,0.403581
402,5.0144,2.70085,0.163313
403,3.64866,2.95267,0.639963
404,5.04816,0.376574,0.646438
405,3.64255,2.16422,0.936037
406,3.67941,6.07752,0.189365
407,3.58007,3.46665,0.0410683
408,4.01244,0.878231,0.59795
409,5.36088,1.40364,0.242799
410,4.0075,5.55993,0.0298375
411,3.98941,1.12227,0.352313
412,4.30829,0.240746,0.913961
413,5.07891,6.85029,0.0267261
414,3.89804,3.00628,0.169759
415,5.20826,0.970107,0.467167
416,4.20526,4.65785,0.485919
417,3.99028,1.68756,0.438841
418,3.67322,3.84776,0.162511
419,4.26728,2.61647,0.170394
420,5.01231,3.85257,0.969758
421,3.99665,3.75585,0.491741
422,4.15544,2.70947,0.123227
423,9.78521,1.12105,0.521577
424,4.12261,4.36241,0.364743
425,3.94261,3.56039,0.0477809
426,6.50332,2.58964,0.339198
427,4.47817,0.681136,0.612586
428,3.88016,0.604632,0.680386
429,4.69769,6.04438,0.474546
430,3.61516,3.57279,0.274072
431,3.57511,0.848974,0.583851
432,3.67605,3.81417,0.180255
433,3.5964,5.44867,0.499999
434,6.45203,0.611042,0.653139
435,3.55326,0.539857,0.452277
436,5.51158,2.25576,0.130829
437,3.82294,5.53757,0.121748
438,5.1258,1.35666,0.278747
439,4.23021,0.412654,0.760874
440,4.01716,0.00597659,0.856365
441,4.45644,2.1766,0.556413
442,3.98731,0.765564,0.845026
443,6.19784,0.855434,0.531812
444,3.55466,0.695255,0.505707
445,3.62386,2.71855,0.179508
446,3.76932,7.06597,0.012407
447,4.03425,1.04531,0.342293
448,3.86257,7.71994,0.0196723
449,4.0714,2.16761,0.902835
450,8.35607,4.65925,0.174949
451,3.74416,2.22351,0.162353
452,3.90997,1.78102,0.250519
453,5.18486,0.298275,0.789881
454,6.21136,1.40786,0.975909
455,3.9321,4.93171,0.0222002
456,4.45227,6.824,0.0537366
457,3.58686,4.6085,0.715336
458,5.35823,1.14615,0.484324
459,3.62939,3.79417,0.762804
460,4.48472,4.57398,0.0292429
461,11.7717,2.86399,0.07284
462,3.61067,0.452534,0.588081
463,5.73836,6.50147,0.894934
464,5.24007,4.10205,0.0220581
465,4.70982,5.84282,0.373546
466,3.64579,3.27671,0.0873036
467,7.02571,6.0587,0.560657
468,4.2452,6.03893,0.0878463
469,5.99611,2.7485,0.190959
470,4.22285,4.75329,0.618152
471,3.60219,0.162025,0.918627
472,4.50582,5.43955,0.686372
473,3.72339,2.36532,0.0762352
474,6.64576,5.29706,0.250804
475,3.63535,1.4204,0.245416
476,6.84673,6.40394,0.306695
477,3.83914,1.51894,0.221137
478,6.70021,3.71285,0.0761269
479,4.06675,4.6469,0.0787215
480,3.80954,1.30999,0.271095
481,3.98335,5.44169,0.0504109
482,4.34213,5.79614,0.325455
483,4.12254,4.03043,0.501331
484,4.52905,2.50031,0.0584778
485,4.30201,2.98983,0.246752
486,4.42928,0.737716,0.772387
487,4.77524,0.0781343,0.981373
488,5.86018,5.22572,0.0289682
489,5.6917,3.03683,0.0657769
490,3.54008,7.66218,0.076266
491,4.14183,1.69049,0.890449
492,3.93072,1.23431,0.691282
493,4.65187,1.82439,0.591346
494,6.90174,4.6537,0.0772152
495,3.89553,3.2421,0.267507
496,4.00942,0.0921107,0.925957
497,4.76778,2.2235,0.0834806
498,4.88997,1.46734,0.414635
499,4.647,1.75951,0.208872
500,4.44206,2.36856,0.11865
501,5.29781,0.933522,0.504517
502,4.25305,4.73973,0.0388319
503,3.83635,4.79522,0.0480587
504,3.91876,0.795236,0.515565
505,4.1701,0.114569,0.987379
506,5.66778,1.6706,0.395047
507,4.2746,3.401,0.0358898
508,4.06753,0.613041,0.609584
509,3.67455,0.819089,0.460826
510,3.7521,2.83852,0.266659
511,3.72709,2.88672,0.149541
512,4.14893,1.87005,0.100439
513,3.58577,2.43168,0.192115
