evt, m, deta, e_ratio
659,2.07589,5.31595,0.0226232
660,1.4394,5.71315,0.0123539
661,1.47788,2.96339,0.016783
662,1.87213,4.21839,0.0511367
663,1.42478,4.95826,0.838595
664,1.50797,0.925198,0.824071
665,5.31668,1.61991,0.493892
666,1.46769,2.51986,0.0777534
667,2.04187,0.773605,0.589136
668,1.95353,4.69375,0.164379
669,2.01523,3.12225,0.106955
670,1.76253,0.265692,0.765473
671,1.44303,3.05051,0.0518719
672,1.6221,3.68736,0.0248735
673,1.92797,0.832679,0.327769
674,1.60564,3.60921,0.266555
675,2.11677,3.67434,0.942714
676,1.42457,0.0461084,0.840269
677,1.57645,3.21918,0.83943
678,1.62953,5.95169,0.0895855
679,2.16894,2.83755,0.0784439
680,1.41727,6.36537,0.0314083
681,1.611,6.96374,0.0134735
682,1.6624,0.934661,0.842697
683,1.7931,1.61705,0.584288
684,2.69864,3.7014,0.383313
685,1.58091,0.746315,0.501827
686,1.51118,0.969227,0.270303
687,1.75312,1.01324,0.573332
688,1.76488,3.92989,0.305968
689,2.6701,1.51694,0.627396
690,1.43534,0.223889,0.932316
691,1.49142,5.39388,0.0179505
692,1.4815,2.85447,0.179097
693,1.6318,4.28705,0.433932
694,4.35947,0.710033,0.6441
695,1.62087,4.52242,0.182155
696,1.69253,3.44925,0.340269
697,2.05286,2.13298,0.119241
698,1.49244,2.28695,0.0129415
699,1.61797,4.6234,0.141861
700,1.43036,1.24284,0.329172
701,1.73297,3.97607,0.0503044
702,1.59835,4.47931,0.0443486
703,1.45294,1.50256,0.417566
704,1.48946,3.79035,0.0405901
705,1.53948,4.0611,0.155267
706,1.68998,2.89692,0.0244759
707,1.57617,1.30435,0.917155
708,1.48525,5.35495,0.0321449
709,2.76845,4.78097,0.0261164
710,1.54798,2.97065,0.049274
711,1.81942,3.77149,0.484903
712,1.74759,1.24422,0.863818
713,1.63875,3.49193,0.118387
714,2.34104,0.954556,0.6283
715,2.08161,3.53072,0.164926
716,1.46281,1.99883,0.123418
717,1.80103,3.28511,0.0454819
718,1.57361,0.968474,0.484187
719,1.42825,3.47167,0.41361
720,1.53074,4.29083,0.0454318
721,1.94253,2.49234,0.537847
722,1.72417,1.99133,0.247764
723,1.93854,3.78622,0.136475
724,1.7343,7.02379,0.443819
725,1.91051,3.52335,0.124496
726,1.6202,1.15957,0.98898
727,1.52389,0.333412,0.556927
728,1.44843,4.79409,0.667341
729,1.51204,1.61998,0.745158
730,2.02812,2.08368,0.298738
731,1.48131,2.44058,0.177514
732,1.59703,2.52843,0.39797
733,1.55675,4.07082,0.020456
734,1.48364,3.92846,0.840308
735,1.49581,3.27009,0.0382559
736,1.80369,2.79216,0.245025
737,1.44664,0.884691,0.749005
738,2.07807,4.99051,0.437964
739,1.75941,1.63985,0.358557
740,1.69615,6.09682,0.103415
741,1.64544,1.37923,0.110433
742,1.47836,3.45963,0.941081
743,1.95076,0.425408,0.614506
744,1.46596,0.611098,0.290328
745,1.4456,0.649357,0.90782
746,1.88566,2.28427,0.169703
747,1.68589,4.0276,0.0456804
748,1.4668,3.25103,0.671993
749,1.63765,2.35023,0.108931
750,2.77963,3.42723,0.397671
751,1.43327,2.158,0.509327
752,2.29349,2.07043,0.189191
753,2.36704,5.23469,0.0924835
754,1.52146,5.5145,0.0235043
755,1.5694,2.03392,0.150445
756,1.50492,4.44417,0.0549889
757,1.73012,1.06209,0.289495
758,1.6475,3.70612,0.0715499
759,3.38332,6.16464,0.237285
760,1.464,3.9994,0.081374
761,1.44757,5.39279,0.170144
762,1.42818,2.49967,0.5369
763,2.03176,4.7122,0.0263354
764,1.53345,3.7603,0.012743
765,1.45063,3.16087,0.761339
766,1.74408,1.54511,0.145334
767,1.59671,0.721865,0.42419
768,1.49176,2.23868,0.602993
769,1.80389,2.46606,0.583965
770,1.48604,1.77433,0.284828
771,1.71337,3.02979,0.410349
772,1.95056,3.29497,0.0374878
773,1.53829,1.32361,0.0948045
774,1.54413,0.350975,0.459454
775,1.46428,3.28949,0.0257344
776,2.28621,2.40113,0.0573712
777,1.58999,0.892145,0.780443
778,1.7226,0.553326,0.579009
779,1.78498,4.39947,0.729404
780,2.01629,4.61682,0.0216681
781,1.51276,4.13856,0.170544
782,2.07584,4.26514,0.51739
783,1.45323,0.743221,0.77792
784,1.4234,3.20001,0.336433
785,2.36158,0.100995,0.770417
786,1.47924,3.40933,0.0751345
787,1.66542,1.94395,0.187631
788,1.75397,3.38881,0.168457
789,1.59978,4.28207,0.226197
790,1.45868,0.572873,0.873932
791,1.45143,5.01261,0.0111885
792,1.42572,3.24495,0.135658
793,1.64203,4.4014,0.608905
794,3.02359,3.13139,0.333535
795,1.49293,0.172284,0.406942
796,1.70317,3.62245,0.937125
797,1.73662,0.396076,0.859314
798,1.67722,5.11055,0.0177044
799,1.97535,2.60855,0.45114
800,1.87971,1.98411,0.530395
801,1.73862,3.13435,0.710242
802,1.77484,1.30869,0.144235
803,3.17272,2.44134,0.93489
804,1.58192,3.26728,0.660108
805,1.44223,1.19643,0.406885
806,4.24818,0.616193,0.98501
807,1.54827,0.759581,0.352917
808,1.42347,4.68754,0.0174564
809,2.36119,3.25123,0.105209
810,1.48786,2.23695,0.40609
